time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
4.333431720733642578e-01,9.587380191078409553e-05,1.150485593825578690e-03,8.445884101092815399e-03,2.251762151718139648e-01,-2.265059447381645441e-04,-3.068482328671962023e-04
4.366765022277832031e-01,-9.587380191078409553e-05,3.834952076431363821e-04,-1.947209239006042480e-02,-2.380986362695693970e-01,-3.680116265059041325e-07,-5.396652268245816231e-04
4.400098323822021484e-01,-1.917476038215681911e-04,1.150485593825578690e-03,-2.885423041880130768e-02,1.106428503990173340e-01,1.179213068098761141e-04,-9.606067324057221413e-04
4.433431625366210938e-01,-1.438106992281973362e-04,1.150485593825578690e-03,-9.790555573999881744e-03,1.790869981050491333e-01,-3.197382029611617327e-04,-7.782004540786147118e-04
4.466767311096191406e-01,-4.793690095539204776e-05,7.669904152862727642e-04,1.133090071380138397e-02,1.263747513294219971e-01,-2.688388049136847258e-04,6.854192906757816672e-05
4.500179290771484375e-01,2.396845084149390459e-04,1.150485593825578690e-03,7.254537194967269897e-02,2.846750617027282715e-01,3.349062899360433221e-05,-5.760188214480876923e-04
4.533512592315673828e-01,9.587380191078409553e-05,-3.834952076431363821e-04,2.407304756343364716e-02,-3.576092422008514404e-01,-2.457771915942430496e-04,-6.298724329099059105e-04
4.566848278045654297e-01,9.587380191078409553e-05,-3.834952076431363821e-04,3.429902717471122742e-02,-5.355296656489372253e-02,8.319590415339916945e-05,1.870110099844168872e-05
4.600229263305664062e-01,2.396845084149390459e-04,-3.834952076431363821e-04,8.356527425348758698e-03,2.022829204797744751e-01,-4.152156543568708003e-05,-1.702948648016899824e-04
4.633562564849853516e-01,1.438106992281973362e-04,3.834952076431363821e-04,8.356527425348758698e-03,2.022829204797744751e-01,-1.551362947793677449e-04,1.486819965066388249e-04
4.666895866394042969e-01,3.834952076431363821e-04,3.834952076431363821e-04,6.895671039819717407e-02,1.508001685142517090e-01,-1.019716219161637127e-04,2.960934361908584833e-04
4.700229167938232422e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.043241195380687714e-03,-1.302477121353149414e-01,-8.990240166895091534e-05,1.664405281189829111e-04
4.733562469482421875e-01,-1.917476038215681911e-04,7.669904152862727642e-04,-1.923432387411594391e-02,1.640013605356216431e-01,-9.497592691332101822e-05,-5.977563560009002686e-04
4.766898155212402344e-01,-4.314320976845920086e-04,1.150485593825578690e-03,-5.114361643791198730e-02,2.269223332405090332e-01,-6.920735468156635761e-04,-2.684524515643715858e-04
4.800231456756591797e-01,-4.793690168298780918e-04,3.834952076431363821e-04,-4.577762261033058167e-02,-2.190986573696136475e-01,1.421624183421954513e-04,-8.509313920512795448e-05
4.833564758300781250e-01,-1.438106992281973362e-04,7.669904152862727642e-04,4.884039610624313354e-02,-1.109288036823272705e-01,-2.057486744888592511e-05,-4.777267458848655224e-04
4.866900444030761719e-01,0.000000000000000000e+00,1.150485593825578690e-03,8.503220975399017334e-02,1.236788108944892883e-01,-4.397283482830971479e-04,-3.368061443325132132e-04
4.900233745574951172e-01,-3.834952076431363821e-04,7.669904152862727642e-04,-1.102308277040719986e-02,-6.132753565907478333e-02,-4.120852390769869089e-04,1.529184664832428098e-04
4.933567047119140625e-01,-2.876213984563946724e-04,-7.669904152862727642e-04,5.152650643140077591e-03,-6.700146794319152832e-01,-6.393494550138711929e-04,-7.056202157400548458e-04
4.966900348663330078e-01,-1.438106992281973362e-04,1.917476067319512367e-03,1.678451150655746460e-02,-5.079302191734313965e-02,-1.569865271449089050e-04,2.231488033430650830e-04
5.000233650207519531e-01,-2.876213984563946724e-04,3.834952076431363821e-04,-2.846214175224304199e-02,1.665293723344802856e-01,2.157316775992512703e-04,4.803855699719861150e-05
5.033566951751708984e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.290316462516784668e-02,5.656560882925987244e-02,-2.487118763383477926e-04,4.072607553098350763e-04
5.066900253295898438e-01,-9.587380191078409553e-05,3.834952076431363821e-04,8.292577229440212250e-03,1.373823583126068115e-01,-3.095211286563426256e-04,-1.076619722880423069e-03
5.100233554840087891e-01,-3.355583176016807556e-04,7.669904152862727642e-04,-4.397154599428176880e-02,3.132313191890716553e-01,-3.696320927701890469e-04,1.863042562035843730e-04
5.133566856384277344e-01,-9.587380191078409553e-05,7.669904152862727642e-04,2.218710072338581085e-02,2.124186754226684570e-01,-4.162745899520814419e-04,8.535169035894796252e-05
5.166900157928466797e-01,-2.876213984563946724e-04,7.669904152862727642e-04,-1.394126564264297485e-02,3.060218691825866699e-01,-2.387730055488646030e-04,-2.865594869945198298e-04
5.200233459472656250e-01,4.793690095539204776e-05,2.300971187651157379e-03,7.706487923860549927e-02,8.748878240585327148e-01,1.375961292069405317e-04,-3.754530625883489847e-04
5.233569145202636719e-01,-4.314320976845920086e-04,3.834952076431363821e-04,-2.995970100164413452e-02,-2.312252074480056763e-01,-1.405739458277821541e-04,-2.948582405224442482e-04
